"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC0","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC0","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","MixedwoodUP0","MixedwoodUP10","MixedwoodUP20","MixedwoodUP40","NA.","Pine0","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC0","WhiteSpruceCC10","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-10-67-28-NE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169294779575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-10-67-28-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006948297012082,0.00813922203481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-10-67-29-NE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431163971529,0.00616738318469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-10-67-29-NW",0,0,0,0,0,0,0,0.00449351858726,0,0,0,0,0,0,0,0,0.00422871311982,0.00211052559582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029763545338,0,0
"5","4-10-67-31-NE",0,0,0,0,0,0,0,13.8046770755693,9.11346358770541,0,0,0,0,0,0,1.54522902137,1.872243760589,15.439709750496,0,0,0,0,0,0,3.56738113586,0,2.845509656174,0,0,0.169158707475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4450751138129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68550196231753,0,0.999591970571
"6","4-10-67-31-NW",0,0,0,0,0,0,0,0.47287903884746,0.282974897964579,0,0,0,4.94782505918e-06,0,0,0,0,0.860386462028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00803802222631456,0,0
"7","4-10-67-31-SW",0,0,0,0,0,0,0,3.63540812953e-05,0,0,0,0,0,0,0,0,0.000401442253587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143760750944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144442309609,0,0,0,0,0,0,0,0,0,0,0,0
"8","4-10-67-32-NE",0,0,0,0,0,0,0,1.02787721798,0,0,0,0,0,0,0,0,16.1339184705052,40.2929735746393,0,0,0,0,0,0,0.968896124018227,0,0,0,0,3.27502052548894,0.896725302887,0,0,0.5429598681493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49605750426,0,0,0,0,0,0,0,0,0,0,0,0,0.5429599285643,0,0,0,0,0,0,0,0,0,1.04362947029171,0,0
"9","4-10-67-32-NW",0,0,0,0,0,0,0,21.8718645184478,0,0,0,0,0,0,0,0,3.34390054684476,29.5799879584627,0,0,0,0,0,0,0.802715159622399,0,0,0,0,0.708568090785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1497299151371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5341811267374,0,0
"10","4-10-67-32-SE",0,0,0,0,0,0,0,3.569922327416,0,0,0,0,0,0,0,0,7.8456675096242,48.084678677967,0,0,0,0,0,0,0,0,0,0,0,4.745563487649,0,0,0,0.0351307298816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035130709068,0,0,0,0,0,0,0,0,0,1.066799942635,0,0
