"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC100","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP40","MixedwoodUP60","MixedwoodUP80","NA.","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Pipeline","Rail..Hard.Surface","Rail..Vegetated.Verge","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-10-67-28-NE",0,0,0,0,0,0,0,0,0,0.00169294778568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169249444321,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-10-67-28-NW",0,0,0,0,0,0,0,0,0,0.00813922207009,0,0,0.006948297036032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813776369385,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-10-67-29-NE",0,0,0,0,0,0,0,0,0,0,0.00616738317306,0,0.00431163970933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616744207559,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-10-67-29-NW",0,0,0,0.00449351858726,0,0,0,0,0,0.00422871311982,0.00211052559582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00633947444039,0,0,0,0,0,0,0,0,0,0.00029763545338,0,0
"5","4-10-67-31-NE",0,0,5.66104051792,17.0282944653017,0.22880568006741,0,0,0,0,0.617994057077,14.939028331662,0.924863002446,0.830068119918,0,0,0,0,1.545229021363,0,0,0,3.014668363623,1.98690566501,0,0,1.58047547084,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62145436219317,0,0,0,0,0,0,5.83314063855994,1.9904801131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5498022813679,0,0,0,0,0,0,0,0,0,0.53539533733013,0,0.999591970571
"6","4-10-67-31-NW",0,0,0,0.755853936814376,0,0,0,0,0,0.860386462031,0,0,0,4.94782505918e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8603767298666,0,0,0,0,0,0,0,0,0,0,0,0
"7","4-10-67-31-SW",0,0,0,3.63540812938e-05,0,0,0,0,0,0.000400071814837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014302813111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000545563225547,0,0,0,0,0,0,0,0,0,0,0,0
"8","4-10-67-32-NE",0,0,0,1.02787721798,0,0,0,0,0,10.4411943739266,34.5625462444,2.75580122553332,8.70353173534247,0,0,0,0,0,0,0,0,0.664000783594,0,3.2745912401,0.233153804738111,0.968896124015514,0,0,0,0,0,0,0,0.506778790408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496057504257,0,0,0,0,0,0,0,0,0,46.1745202314339,0,0,0,0,0,0,0,0,0,0.4142068076604,0,0
"9","4-10-67-32-NW",0,0,0,21.8718645183429,0,0,0,0,0,0.00724605371634,29.572741904697,0.689788754541,2.65411179235091,0,0,0,0,0,0,0,0,0,0,0,0.708568090791,0.802715159602916,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01025578971691,0,0,0,0,0,0,4.139474125437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7194620838195,0,0,0,0,0,0,0,0,0,0.34082762297601,0,0
"10","4-10-67-32-SE",0,0,0,3.569922327409,0,0,0,0,0,20.993975913387,30.0480638156,0,4.8883064586739,0,0,0,0,0,0,0,0,0,0,0,4.745563487637,0,0,0,0,0,0,0,0,0.0351307298892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0771700010513,0,0,0,0,0,0,0,0,0,0.1722148907022,0,0
