"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP20","MixedwoodUP40","MixedwoodUP60","NA.","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC60","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","0-0-0-0- ",0,0,0,2.26909755431e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53166823708e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6950156163e-07,0,0,0,0,0,0,0,0,0,0,0
"2","4-12-80-16-NE",0,0,0,0,0,0,24.00538554379,0,0,0,0,0,0,0.46055690698915,0,2.2867986869278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.53626117874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410621799787,0,0
"3","4-12-80-16-NW",0,0,0,2.169593643686,0,0,15.46128712139,0,0,0,0,0,0,0.505699009315,0,3.17622572716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.690017769281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63213701923549,0,0.997869240317
"4","4-12-80-16-SE",0,0,0,2.494632494431,0,0,34.850100603293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.211661659803,0,0,0,17.567742968192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9044733702973,0,1.168380613212
"5","4-12-80-16-SW",0,0,0.908593079589,16.839403544654,8.81452571184,0,8.83339529106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.545893384741,0,0,0,0,0,0,0,0,0,0,0.536497068752,0,0,0,26.5544545417165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96559821184146,0,0
"6","4-12-80-17-NE",0,0,0,13.72628185279,0,0,0,0,0,0,0,0,0,3.935581698246,0,1.12670667293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.989342454708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70622641526199,0,0.00203693685795
"7","4-12-80-17-NW",0,0,1.446940056735,24.903617126422,0,0,0,0,0,0,0,0,0,1.53677136898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.285617050955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54216793094092,0,0
"8","4-12-80-17-SE",0,0,1.439178507626,52.4612041828323,0,0,0,0,0,0,0,0,1.93418523566,3.53781228405,0,0.150848811112,0,0,0,0,0,0,0,0,0,0,0,0.211471105184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95650437822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6248878446491,0,0.124953201174
"9","4-12-80-17-SW",0,0,23.1855994567187,42.3459221720722,0,0,0,0,0,0,0,0,0.8820083810338,0.718965920659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090087647094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691170337507902,0,0
"10","4-12-80-18-NE",0,0,25.6389173486416,13.9420654943944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53471555577,1.43247461071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22159853530799,0,1.270281646942
