"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-13-70-19-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1775553306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83983548786e-05,0,0,0,0,0,0,0,0,0,0
"2","4-13-70-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99952826503e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25645928636e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32408622155e-09,0,0
"3","4-13-71-7-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74786135188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-14-70-1-NE",0,0,1.43679214342,0,0,0,0,0,11.936960037,0,0,0,0,0,0,0,0,2.70944597264,10.4065182135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0647290054576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4065150406,0,0,0,0,0,0,0,0.259763398236,0,0
"5","4-14-70-1-NW",0,0,0.0806003640285,0,0,0,0,0,4.908916312287,0,0,0,0,0,0,0,0,0,3.991555924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.385318137556,0,0,0,0,0,21.019438284125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99155419803,0,0,0,0,0,0,0,0,0,0
"6","4-14-70-1-SE",0,0,11.4538763942222,0,0,0,0,0,10.25806779387,0,0,0,0,0,0,0,0,0.463924498485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21365665516,0.219336340351,0,0,0,0,27.921168269672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596812786808356,0,0
"7","4-14-70-1-SW",0,0,2.254901199231,0,0,0,0,0,10.402498236102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4979902622286,0,0,0,0,0,12.5841625810574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2344454534206,0,0
"8","4-14-70-10-NE",0,0,0,2.4813142231,0,0,0,1.644713492624,18.027861523733,0,0,0,0,0,0,0,0,4.433642157705,33.7326911947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24373892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7326932667,0,0,0,0,0,0,0,0,0,0
"9","4-14-70-10-NW",0,0,8.419350048021,10.925781202652,0,0,0,0,10.4077241253731,0,0,0,0,0,0,0,0,1.03787128399,24.7895166247627,0,0,0,0,0,0,0,0,0,0,1.38830709771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7895157331923,0,0,0,0,0,0,0,0.3227435020215,0,0
"10","4-14-70-10-SE",0,0,6.27739643414795,0,0,0,0,0.545964401363,57.309306929623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3186794047216,0,0
"11","4-14-70-10-SW",0,0,0,7.745843880065,0,0,0,0,48.2875353913287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35456741292,0,0
"12","4-14-70-11-NE",0,0,3.6739069204,0,0,0,0,0,0.508520760992,0,0,3.314078287177,0,0,0,0,0,13.56897419793,26.78885162375,0,0,0,0,0,0,0,0.000130915209098,0,0,3.58639451612,0,0,0,0,0.697101091017,0,0,0,0,0,0,0,0,0,0,4.00540932319,0.593034310349,0.641725583895,7.35426860104e-05,0,0,0,0,0,0,0,26.78885627262,0,0,0,0,0,0,0,0.337463633915,0,0
"13","4-14-70-11-NW",0,0,0.888066737208,0,0,0,0,0,15.3807088325027,0,0,9.312777416998,0,0,0,0,0,15.6125330158622,16.9106477599,0,0,0,0,0,0,0,0.000188836147074,0,0,0.100419859961,0,0,0,0,0,0,0,0,0,0,1.74355150475,0,0,0,0,0,1.62185601574,0,0,0,0,0,0,0,0,0,16.910646420904,0,0,0,0,0,0,0,0,0,0
