"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-13-70-19-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17458335532e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-13-70-30-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99952826503e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25645963136e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3240865325e-09,0,0
"3","4-13-71-7-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74786135188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-14-70-1-NE",0,0,1.43679214341,0,0,0,0,0,11.936960037,0,0,0,0,0,0,0,0,2.70944597265,10.4065182135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0647290054745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4065150405,0,0,0,0,0,0,0,0.2597633981731,0,0
"5","4-14-70-1-NW",0,0,0.0806003640313,0,0,0,0,0,4.9089163123,0,0,0,0,0,0,0,0,0,3.99155592399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.385318137568,0,0,0,0,0,21.019438284114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99155419801,0,0,0,0,0,0,0,0,0,0
"6","4-14-70-1-SE",0,0,11.4538763942533,0,0,0,0,0,10.258067793891,0,0,0,0,0,0,0,0,0.463924498491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21365665516,0,0,0,0,0,27.921168269605,0.219336340352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219336914158,0,0,0,0,0,0,0,0.58455584727046,0,0
"7","4-14-70-1-SW",0,0,2.254901199217,0,0,0,0,0,10.402498236092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4979902623216,0,0,0,0,0,12.5841625810689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2344454534429,0,0
"8","4-14-70-10-NE",0,0,0,2.4813142231,0,0,0,1.644713492636,18.027861523672,0,0,0,0,0,0,0,0,4.433642157722,33.7326911947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24373892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7326932667,0,0,0,0,0,0,0,0,0,0
"9","4-14-70-10-NW",0,0,8.4193500480793,10.925781202625,0,0,0,0,10.4077241253753,0,0,0,0,0,0,0,0,1.03787128399,24.7895166246624,0,0,0,0,0,0,0,0,0,0,1.38830709771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7895157330898,0,0,0,0,0,0,0,0.3227435019655,0,0
"10","4-14-70-10-SE",0,0,6.27739643413312,0,0,0,0,0.5459644013695,57.309306929569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3186794047613,0,0
"11","4-14-70-10-SW",0,0,0,7.74584388006,0,0,0,0,48.2875353913132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35456741283,0,0
"12","4-14-70-11-NE",0,0,3.6739069204,0,0,0,0,0,0.508520760983,0,0.469132437467,2.844939461209,0,0,0,0,0,13.56897419803,26.78885769254,0,0,0,0,0,0,0,0.000130915207481,0,0,3.58639451609,0,0,0,0,0,0,0,0,0,0,0,0,0.697101091008,0,0,0,4.00540932318,0.593034310356,0.641725583893,7.38337436646e-05,0,0,0,0,0,0,0,27.95509573976,0,0,0,0,0,0,0,0.300493846552,0,0
"13","4-14-70-11-NW",0,0,0.888066737212,0,0,0,0,0,15.3807088324939,0.449242847996,1.95898412792,7.353790646619,0,0,0,0,0,15.1632901678726,16.910650342393,0,0,0,0,0,0,0,0.00018993990568,0,0,0.100419859961,0,0,0,0,0,0,0,0,0,0,1.74355150473,0,0,0,0,0,0,1.62185471521,0,0,0,0,0,0,0,0,0,19.318875794482,0,0,0,0,0,0,0,0,0,0
"14","4-14-70-11-SE",0,0,15.41789969072,0,0,0,0,0,12.241409470768,0,0,0,0,0,0,0,0,0,14.49208781887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8520618105907,0,0,0,0,0,0,0,0,0.000305408142054,0,0,0,0,0,0,0,14.49208823218,0,0,0,0,0,0,0,0.47343279533727,0,0
"15","4-14-70-11-SW",0,0,14.0404628173595,0,0,0,0,0,26.911951696678,0,0.0396368812413,0,0,0,0,0,0,0,1.03035193037215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138937160261,0,0,0,0,0,17.74772287019,0,0,0,0,0,0,0,0,2.46682103038e-05,0,0,0,0,0,0,0,1.06998597726996,0,0,0,0,0,0,0,0.2373926371084,0,0
"16","4-14-70-12-NE",0,0,5.81783308755,3.841351367604,0,0,0,0,4.69199057857,0,0,0,0.532782780688,0,0,0,0,0.878786693904,22.5689704099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5689704323,0,0,0,0,0,0,0,0.1621882054986,0,0
