"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","MixedwoodUP80","Pine100","Pine120","Pine140","Pine40","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruceCC40","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Mine.Site","Peat.Mine","Pipeline","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-13-70-19-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1775553306e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6733983586e-05,0,0,0,0,0,0,0,0,0,0
"2","4-13-70-30-NW",0,0,0,0,0,0,0,0,0,6.99951816758e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25645659426e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38187359835e-09,0,0
"3","4-13-71-7-SW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74786135188e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-14-70-1-NE",0,0,0,13.37375218041,0,0,0,0,0,0,0,0,2.70944597264,0,0,0,0,0,0,10.4065182135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5322629580257,0,0,0,0,0,5.53246604744,0,0,0,0,0,0,0,0,0,0,0,0,0,15.93898067709,0,0,0,0,0,0,0,0.1667594458769,0,0
"5","4-14-70-1-NW",0,0,0,4.9895166763155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.991555924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.019438284155,0,0,0,0,0,6.385318137516,0,0,0,0,0,0,0,0,0,0,0,0,0,10.376872335503,0,0,0,0,0,0,0,0,0,0
"6","4-14-70-1-SE",0,0,0,18.9414167145511,2.77052747353,0,0,0,0,0.46392449848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.581638250746,0,0,0,0.219336340351,0,16.3395300189,2.21365665516,0,0,0,0,0,0,0,0,0,0,0,0,19.236450806768,0,0,0,0,0,0,0,0.2029522995241,0,0
"7","4-14-70-1-SW",0,0,0,12.657399435407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9372963848539,0,0,0,0,0,21.123190418269,0.0216660401062,0,0,0,0,0,0,0,0,0,0,0,0,21.144856245998,0,0,0,0,0,0,0,0.1802206683697,0,0
"8","4-14-70-10-NE",0,0,4.921584309461,14.750990706896,2.4813142231,0,0,0,0,0,0,0,4.433642157705,0,0,0,0,0,0,33.7326911947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24373892527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7326932666,0,0,0,0,0,0,0,0,0,0
"9","4-14-70-10-NW",0,0,0,10.4077241253731,19.345131250673,0,0,0,0,0,0,0,1.03787128399,0,0,0,0,0,0,24.7895166247627,0,0,0,0,1.38830709771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7895157331912,0,0,0,0,0,0,0,0.3227435019638,0,0
"10","4-14-70-10-SE",0,0,40.655760920563,17.199510410403,6.27739643414795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762915,0,0,0,0,0,0,0,0,0,0,0,0,0.388093762913,0,0,0,0,0,0,0,0.3186794048731,0,0
