"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC10","DeciduousCC20","DeciduousCC40","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC10","MixedwoodCC20","MixedwoodCC40","Pine10","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-26-85-14-SW",0,0,0,0,0,0,0,0,3.9195340361543e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","5-1-84-1-NE",0,0,0.72385365714648,0,0,0,0,0,15.393662923169,0,0,0,0,0,0,0,0,10.25056486337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.097633651591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140286937588,0,0
"3","5-1-84-1-NW",0,0,4.9259722092831,0,0,0,0,0,8.708387756373,0,0,0,0,0,0,0,0,4.422036611252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.186272516611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","5-1-84-1-SE",0,0,0,1.1537477835,0,0,0,0,21.655047072924,0,0,0,0,0,0,0,0,4.26974237923388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.934669443385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02171332656e-05,0,0,0,0,0.6836415470762,0,0
"5","5-1-84-1-SW",0,0,2.3086524782244,0,0,0,0,0,21.755292606818,0,0,0,0,0,0,0,0,11.882777214417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2484183843807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69127042250354,0,0.330770064254
"6","5-1-84-10-NE",0,0,0,0.91794966744,0,0,0,0,3.175609132194,0,0,0,0,0,0,0,0,36.4184929997352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69941899946,0.115348753181,0,0,0,0.0310483981264,14.617112848255,0,0,0,0,0,0,0.999089913015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33429924678619,0,0
"7","5-1-84-10-NW",0,0,3.21260528078188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.70779572981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10218991059,0,0,0,0,0,16.400724419298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936378899763922,0,0,0,0,0.42638630795572,0,0.312197183858
"8","5-1-84-10-SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.760672767312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23415276377,0,0,0,0,37.142018414233,0,0,0,0,0,0,0.989857074754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264656871024,0,0
"9","5-1-84-10-SW",0,0,0.570865526748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5434380931471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5533291384563,0,0,0,0,0,0.999899918551,0.0150205414454,0,0,0,0,3.4405164389658,0,0,0,0,0,0,0.964996668849,0,0,0,0,0,0,0
"10","5-1-84-11-NE",0,0,0,2.95056751368,0,0,0,0,3.012603470077,0,0,0,0,0,0,0,0,52.0456533808183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.952474455698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7328883110351,0,0
