"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC60","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-26-85-14-SW",0,0,3.2227620175113e-05,0,0,0,0,0,6.96772018643e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","5-1-84-1-NE",0,0,6.551687557411,0.17938326449448,0,0,0,0,9.38644575841,0,0,0,0,0,0,0,0,10.25056486337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.097633651591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140286937588,0,0
"3","5-1-84-1-NW",0,0,10.699274260241,2.4426159649641,0,0,0,0,0.492469740451,0,0,2.584927098775,0,0,0,0,0,1.837109512477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.186272516611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","5-1-84-1-SE",0,0,8.68200865622,1.1537477835,0,0,0,0,12.973038416704,0,0,0,0,0,0,0,0,4.26974237923388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.934669443385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02171332656e-05,0,0,0,0,0.6836415470762,0,0
"5","5-1-84-1-SW",0,0,10.9548701029535,0.4674392749644,0,0,0,0,12.6416357071245,0,0,0,0,0,0,0,0,11.882777214417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2484183843807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69127042250354,0,0.330770064254
"6","5-1-84-10-NE",0,0,3.175609132194,0.91794966744,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4184929997352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.201903014745,6.229977586151,0,0,0,0.0310483981264,0,0,0,0,0,0,0,0,0.999089913015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33429924678619,0,0
"7","5-1-84-10-NW",0,0,3.21260528078188,0,0,0,0,0,0,0,0,26.315849581175,0,0,0,0,0,7.391946148635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.069907819488,0,0,0,0,0,14.4330065104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936378899763922,0,0,0,0,0.42638630795572,0,0.312197183858
"8","5-1-84-10-SE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.760672767312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93173871558,4.23415276377,0,0,0,0,8.210279698653,0,0,0,0,0,0,0,0.989857074754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264656871024,0,0
"9","5-1-84-10-SW",0,0,0.570865526748,0,0,0,0,0,0,0,0,5.351242964663,0,0,0,0,0,38.1921951284841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445022116915,0,0,0,0,0,11.1083070215413,0,0,0,0,0,0,3.4405164389658,1.0149204599964,0,0,0,0,0,0,0,0,0,0,0,0.964996668685,0,0,0,0,0,0,0
"10","5-1-84-11-NE",0,0,3.012603470077,2.95056751368,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0456533808183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55982299634,0,0,0,0,0,0.392651459358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7328883110351,0,0
