"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC40","DeciduousCC60","DeciduousCC80","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC40","MixedwoodCC60","MixedwoodCC80","Pine100","Pine120","Pine140","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","PineCC40","PineCC80","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC60","WhiteSpruceCC80","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Well.Site"
"1","4-26-85-14-SW",0,0,0,3.9195340361543e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","5-1-84-1-NE",0,0,0,15.393662923179,0.72385365714648,0,0,0,0,0,0,0,10.2505648633883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.072076668205,0,0,0,0,0,0,0,10.025556983364,0,0,0,0,0,0,0,0,0,0,0,0,0,10.02555698335,0,0,0,0,0,0,0,0.00140286937588,0,0
"3","5-1-84-1-NW",0,0,0,8.708387756389,4.9259722092841,0,0,0,0,0,0,0,4.422036611237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.490100011329,0,0,0,0,0,0,0.940455926721,1.75571657854823,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69617250527759,0,0,0,0,0,0,0,0,0,0
"4","5-1-84-1-SE",0,0,0,21.655045800312,1.1537477835,0,0,0,0,0,0,0,4.26974237922569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.934669443225,0,0,0,0,0,0,0,0,0,0,0,0,0,19.934665130117,0,0,0,0,0,0,0,0.4912641983632,0,0
"5","5-1-84-1-SW",0,0,0,21.755292606814,2.3086524782204,0,0,0,0,0,0,0,11.882777214463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5624872450356,0,0,0,0,0,0,0,8.68593113934106,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6821044882263,0,0,0,0,0,0,0,0.558001793750773,0,0.330770064254
"6","5-1-84-10-NE",0,0,0,3.175609132194,0.91794966744,0,0,0,0,0,0,0,36.4184929997352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310483981264,14.617112848255,6.814767752641,0,0,0,0,0,0,0,0,0,0,0,0,0.999089913015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33429924678619,0,0
"7","5-1-84-10-NW",0,0,0,0,3.21260528078188,0,0,0,0,9.09295082572,0,0,24.614844904097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.400724419298,6.10218991059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09295082571,0,0,0.936378899790922,0,0,0,0,0.28746430852832,0,0.312197183858
"8","5-1-84-10-SE",0,0,0,0,0,0,0,0,0,0,0,0,21.760672767312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.142018414233,4.23415276377,0,0,0,0,0,0,0,0,0,0,0,0,0.989857074754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.264656871024,0,0
"9","5-1-84-10-SW",0,0,0,0,0.570865526748,0,0,0,0,0,0,0,43.5434380931471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5533291384563,0,0,0,0,0,0,0,0,0,0,0,0,3.4405164389658,1.0149204599964,0,0,0,0,0,0,0,0,0,0,0.964996668849,0,0,0,0,0,0,0
"10","5-1-84-11-NE",0,0,0,3.012603470077,2.95056751368,0,0,0,0,0.0579863502103,0,0,51.987667030605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.952474455698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579863502103,0,0,0,0,0,0,0,0.7328883110351,0,0
"11","5-1-84-11-NW",0,0,0,35.39000286258,0.739640698406,0,0,0,0,5.33723040515,0,0,8.737346883514,0,0,0,0,0.477508831952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.286178346894,0.00285017286146,4.209428165691,0,0,0,0,0,0,3.88599224121,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22322264636,0,0,0,0,0,0,0,0.4479233741232,0,0
"12","5-1-84-11-SE",0,0,0,11.5796819558933,7.3065816967533,0,0,0,0,0,0,0,11.81476417458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3774159536685,0,0,0,0,0,0,0.613748572507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6137485725,0,0,0,0,0,0,0,0,0,0
