"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP20","NA.","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC20","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce40","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cutblock","Industrial.Site.Rural","Mine.Site","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Transmission.Line","Urban","Well.Site"
"1","4-18-96-7-NW",0,0,0,0,0,0,0,4.3605963664e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41128154266e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","4-19-85-6-NW",0,0,2.82171584342e-05,0,0,0,0,0,1.7973203075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-19-91-19-NW",0,0,4.40233536953e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","4-19-95-1-NE",0,0,4.102412234233,0,0,0,0,0,23.93800417684,0,0,0,0,0,0,0,0,15.5968820326071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01858748683,0,0,0,0,0,1.09728615494,3.98064715303,0,0,0,0,0.573584611034,0,2.86501435473,0,0,0,0,0,0,0,0,3.98064475263,0,0,0,0,0,0,0,0,0.0167220442311,0,0,0
"5","4-19-95-1-NW",0,0,9.43921016868,3.40431561638,0,0,0,0,23.5580014795849,0,0,4.48614628245,0,0,0,0,0,9.505596714242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.009943083114,0,0,0,0,0,4.6637831292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","4-19-95-1-SE",0,0,1.554569935922,0,0,0,0,17.519095085286,14.521446674985,0,0,0,3.93458971779,0,0,0,0,15.4893034720179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381839932635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99598225661189,0,0,0.052878853156499
"7","4-19-95-1-SW",0,0,2.714365095776,4.812590890643,0,0,0,0,44.2365452328931,0,0,0.320542948098,0,0,0,0,0,9.007758715779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75642042751941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4971748427423,0,0,0
"8","4-19-95-10-NE",0,0,0,0.0102624274684,1.72530183402,0,0,0,10.7398765195635,0,0,0,0,0,0,0,0,1.970383940164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.51122578729,0,0,0,0,0,0.182533856706,1.90491895806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90491895806,0,0,0,0,0,0,0,0,0.280806425958,0,0,0
"9","4-19-95-10-NW",0,0,0,8.214542321367,0,0,0,2.31258055541,10.05229812086,0,0,0,0,0,0,0,0,40.5305873983464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79615351404,0,0,0,0,0,0,0.0196803621764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196803621765,0,0,0,0,0,0,0,0,0.5076356215624,0,0,0
"10","4-19-95-10-SE",0,0,0,0.501019763824,0,0,0,0,14.3325812751191,0,0,0,0,0,0,0,0,12.8928034795745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.13140369706,0,0,0,0,0,0,6.13282432048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13282432049,0,0,0,0,0,0,0,0,0,0,0,0
"11","4-19-95-10-SW",0,0,0.9208602729577,21.7967502981264,0,0,0,0.565782424551,7.524501193703,0,0,0,0,0,0,0,0,14.7165500904087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363771650926,0,0,0,0,1.774970577538,0,0,0,0,0,0,0,0,0,0,0.0363771650917,0,0,0,0,0,0,0,0,0.1119492368588,0,0,0
"12","4-19-95-11-NE",0,0,0,0,0,0,0,0,25.0512416488134,0,0,2.360523869069,0,0,0,0,0.03770437616678,8.3256357761611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.816911996013,0,0,0,0,0,10.349428473361,2.385315544902,1.5144726259588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8997881708598,0,0,0,0,0,0,0,0,0,0,0,0
"13","4-19-95-11-NW",0,0,0,0,0,0,0,0,19.746685126943,0,0,0,0,0,0,0,0,7.042282282585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.278701811342,0,0,0,0,0,3.476799036837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","4-19-95-11-SE",0,0,1.32410559922,0,0,0,0,0,21.641241911895,0,0,8.15735024987,0,0,0,0,0,4.6637437047347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.46932782277,0,0,0,0,0,8.1991518879253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","4-19-95-11-SW",0,0,1.35000088448,0,0,0,0,0,6.23680066224581,0,0,8.694803936958,0,0,0,0,0,7.620908692474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.894950700945,0,0,0,0,0,4.8045928846451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","4-19-95-12-NE",0,0,6.627242548713,1.763499147039,0,0,0,0,8.2011145845676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60716461073,0,0,0,0,0,0,0,0,0,0,0,0.184842509248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","4-19-95-12-NW",0,0,11.042617676,4.58162563334,0,0,0,0,2.993873025538,0,0,15.00205819645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8160337352843,0,0,0,0,0,0.1634988186115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","4-19-95-12-SE",0,0,0.111835513384,0.331597920461,0,0,0,0,8.79435800077927,0,0,0.158617561348,0,0,0,0,0,1.183827272851,0,0,0,0,0,15.622961366812,0,0,0,0,0,0,0,0,0,0,0,13.729703958964,0,0,0,0,0,2.78531741417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","4-19-95-12-SW",0,0,1.899467188421,1.95901052878,0,0,0,0,34.965158301852,0,0,0.0763433779883,0,0,0,0,0,4.86234665846623,0,0,0,0,0,0,0,0,0,0,0,2.9005632089,0,0,0,0,0,10.9193424828984,0,0,0,0,0,4.220247582892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","4-19-95-13-NE",0,0,2.83390406815,2.71002020091,1.62258965956,0,0,0,10.2932523300656,4.50111019258,0,16.31131410591,0,0,0,0,0,0,0,0,0,0,0,5.28040017093,0,0,0,0,0,0,0,0,0,0,0,6.30879361037,3.59614590897,0,0,0,0,0.241520638155,0,0.890685092029,0,0,0,3.08233839146,3.78176029059,0,0,0,0,0,0,0,0,0,5.39179515772,0,0,0,0,0,0,0,0,0,0,0,0
"21","4-19-95-13-NW",0,0,6.883022318328,0.97356947213315,1.64054210958,0,0,0,10.6353586486622,18.059002861541,0,8.620154794901,0,0,0,0,0,5.46683151882,0,0,0,0.783008283585,0,0,0,0,0,0,0,0.08337662062636,0,0,0,0,0,0.240009604216,0,0,0,0,0,3.41853840491,0,2.55122103709,0,0,0,1.5429500455754,0,0,0,0,0,0,0,0,0,0,21.393232182225,0,0,0,0,0,0,0,0,0,0,0,0
"22","4-19-95-13-SE",0,0,0.800607413938,0,0,0,0,0,2.5192617099902,0,2.87163258879,8.6854151844232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.558108470117,1.29645373652,0,0,0,0,0,17.56486566906,9.25328220005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.68977469445,0,0,0,0,0,0,0,0,0,0,0,0
