"","QSLinkID","BlackSpruce0","BlackSpruce10","BlackSpruce100","BlackSpruce120","BlackSpruce140","BlackSpruce20","BlackSpruce40","BlackSpruce60","BlackSpruce80","Deciduous0","Deciduous10","Deciduous100","Deciduous120","Deciduous140","Deciduous20","Deciduous40","Deciduous60","Deciduous80","DeciduousCC20","DeciduousCC40","DeciduousCC60","Mixedwood0","Mixedwood10","Mixedwood100","Mixedwood120","Mixedwood140","Mixedwood20","Mixedwood40","Mixedwood60","Mixedwood80","MixedwoodCC20","MixedwoodCC40","MixedwoodCC60","MixedwoodUP20","MixedwoodUP60","Pine100","Pine120","Pine140","Pine20","Pine40","Pine60","Pine80","PineCC0","PineCC10","PineCC40","WhiteSpruce0","WhiteSpruce10","WhiteSpruce100","WhiteSpruce120","WhiteSpruce140","WhiteSpruce20","WhiteSpruce60","WhiteSpruce80","WhiteSpruceCC20","WhiteSpruceCC40","WhiteSpruceCC60","Borrow.Pits.Dugouts.Sumps","Cultivation..Crop.Pasture.Bare.Ground.","Cutblock","Industrial.Site.Rural","Other.Disturbed.Vegetation","Pipeline","Road..Hard.Surface","Road..Vegetated.Verge","Road.Trail..Vegetated.","Rural..Residential.Industrial.","Seismic.line","Well.Site"
"1","4-23-69-18-NW",0,0,0,0,0,0,0,0,0.000109297747022,0,0,0.000944438763128,0,0,0,0,0,0.000491247325376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0632774157e-05,0
"2","4-23-69-19-SW",0,0,0,0,0,0,0,0,0.000175134828807,0,0,0,0,0,0,0,0,2.0877358016e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","4-23-69-6-NW",0,0,0.002135872322891,5.74760936828e-05,0,0,0,0,0,0,0,0,0.000750486229709,0,0,0,0,0,0,0,6.05378291444e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07931368388e-05,0,0,0,0,0,0,0,0.0001306417200494,0
"4","4-23-69-7-NW",0,0,0,0,0,0,0,0,0,0,0,0,0.000635009718209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002770723222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","4-23-69-7-SW",0,0,0,0,0,0,0,0,0.00102666117838,0,0,0,0.002904222753285,0,0,0,0,0,0,0,0,0,0,0.000664679443314,0,0,0,0,0,0,0,0,0,0,0,0,0.000888734988123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.44866131868e-05,0
"6","4-23-70-18-NE",0,0,0,0,0,0,0,0,0,0,0,5.76236907445,0,0,0,0.444997425364,0,5.24328366596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000812963295409,0,0,0.282377473292
"7","4-23-70-18-NW",0,0,0,0,0,0,0,0,0,0,0,34.7447350083751,0,0,10.1302823934424,0,0,11.519718816519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","4-23-70-18-SE",0,0,0,0,0,0,0,0,0,0,0,1.45228405911684,0,0,0.160743740188,0.648812450648,0,14.1596804559997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3454272902317,0,0,0.278278733564
"9","4-23-70-18-SW",0,0,0,0.3971218224256,0,0,0,0,1.035007064899,0,0,9.217704886199,0,0,30.2028047329182,0,0,12.009091384778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36062261191674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7419558290863,0
"10","4-23-70-5-NW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.126480969273,0,0,14.778541170276,0,0,0,0,0,0,2.136564524015,0,0,0,0,6.0501004616105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
